전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
44.11,202301,9000.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.343275
45.68,202301,15000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.8182
29.82,202301,6000.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.02055
84.9,202301,41000.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.68225
19.99,202301,5000.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.046975
59.55,202301,9800.0,1986.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.013875
58.87,202301,12700.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.808175
59.135,202301,18000.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8883375
84.73,202301,19000.0,1993.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.630825
84.42,202301,25800.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.53705
84.42,202301,24500.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53705
41.98,202301,10500.0,1981.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.698949999999998
42.55,202301,10300.0,1981.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.871374999999999
47.01,202301,16000.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.220524999999999
59.8,202301,12000.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.089499999999997
59.95,202301,33000.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.134875
59.98,202301,31400.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14395
59.928,202301,29200.0,2017.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.12822
84.8956,202301,34200.0,2017.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.680919
39.6,202301,6300.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.979
39.6,202301,6200.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.979
57.48,202301,4000.0,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.3877
84.92,202301,16400.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.688299999999998
59.68,202301,11400.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0532
56.04,202301,6000.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.952099999999998
81.4465,202301,26756.0,2021.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.63756625
81.4465,202301,28000.0,2021.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63756625
84.9657,202301,27000.0,2021.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.702124249999997
49.8,202301,19000.0,2006.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.064499999999999
59.3575,202301,9500.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95564375
45.0,202301,7300.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.612499999999999
73.4675,202301,11500.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22391875
84.5525,202301,12500.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.577131249999997
59.3575,202301,8900.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95564375
