,Name,Position,PS Score,Win Rate,Pick Rate,Ban Rate,total_played
164,블라디미르,미드,47.59,49.09%,1.86%,0.38%,"10,844"
165,직스,바텀,47.54,50.43%,0.68%,0.05%,"3,970"
166,레넥톤,탑,47.53,48.23%,5.89%,3.83%,"34,289"
167,그레이브즈,정글,47.52,47.88%,6.14%,2.16%,"35,717"
168,렝가,정글,47.42,48.80%,0.92%,5.46%,"5,332"
169,나르,탑,47.36,48.87%,4.30%,0.57%,"25,014"
170,우디르,탑,47.29,50.23%,0.68%,0.67%,"3,978"
171,애쉬,서폿,47.26,47.31%,5.47%,8.94%,"31,838"
172,우디르,정글,47.26,49.73%,1.18%,0.67%,"6,843"
173,제라스,미드,47.16,48.87%,1.46%,3.10%,"8,517"
174,코그모,바텀,47.07,49.75%,0.81%,0.07%,"4,718"
175,브랜드,서폿,47.05,48.72%,1.36%,0.10%,"7,919"
176,볼리베어,탑,47.05,49.69%,0.81%,0.14%,"4,703"
177,아칼리,미드,46.95,47.28%,5.68%,4.75%,"33,052"
178,룰루,서폿,46.83,47.14%,8.29%,1.35%,"48,226"
179,애쉬,바텀,46.76,48.73%,2.95%,8.94%,"17,147"
180,럭스,미드,46.75,48.86%,1.37%,1.74%,"7,974"
181,라이즈,탑,46.69,49.50%,1.04%,0.52%,"6,053"
182,직스,미드,46.66,49.58%,0.62%,0.05%,"3,600"
183,오공,탑,46.63,49.78%,0.96%,3.64%,"5,572"
184,세주아니,탑,46.55,49.70%,1.04%,0.62%,"6,050"
185,베인,탑,46.53,49.45%,1.16%,1.60%,"6,750"
186,레나타 글라스크,서폿,46.41,47.75%,1.37%,0.28%,"7,958"
187,마오카이,정글,46.40,48.65%,1.58%,3.55%,"9,192"
188,케넨,미드,46.34,52.63%,0.52%,1.60%,"3,042"
189,잔나,서폿,46.30,48.77%,0.71%,0.04%,"4,150"
190,블라디미르,탑,46.25,48.98%,1.74%,0.38%,"10,128"
191,탈론,정글,46.07,48.10%,1.41%,1.87%,"8,228"
192,세라핀,서폿,46.02,48.56%,1.35%,0.08%,"7,859"
193,르블랑,서폿,45.66,48.03%,0.81%,24.25%,"4,710"
194,다이애나,정글,45.24,48.20%,2.15%,0.21%,"12,508"
195,케이틀린,바텀,45.22,47.39%,9.58%,7.25%,"55,749"
196,야스오,탑,45.17,48.51%,1.21%,6.36%,"7,035"
197,아무무,정글,44.93,48.45%,1.15%,2.23%,"6,693"
198,릴리아,정글,44.93,48.89%,0.93%,0.12%,"5,427"
199,아트록스,탑,44.44,47.18%,4.51%,2.17%,"26,257"
200,라이즈,미드,44.41,47.28%,2.65%,0.52%,"15,418"
201,가렌,탑,44.37,48.03%,2.63%,0.71%,"15,286"
202,요네,탑,44.35,47.33%,3.73%,4.79%,"21,724"
203,피들스틱,서폿,44.10,50.22%,0.59%,1.43%,"3,405"
204,아펠리오스,바텀,43.93,47.05%,6.18%,0.27%,"35,938"
205,나미,서폿,43.84,46.83%,2.62%,0.31%,"15,224"
206,문도 박사,탑,43.80,48.96%,1.11%,0.13%,"6,434"
207,빅토르,탑,42.90,50.81%,0.64%,3.25%,"3,751"
208,크산테,미드,42.83,46.54%,0.89%,4.00%,"5,178"
209,베인,바텀,42.68,47.83%,1.94%,1.60%,"11,282"
210,판테온,서폿,42.58,45.94%,1.23%,1.63%,"7,162"
211,리 신,탑,42.18,47.20%,0.91%,41.87%,"5,269"
212,럼블,정글,41.84,46.65%,0.71%,6.26%,"4,159"
213,코르키,미드,41.34,47.33%,0.70%,0.02%,"4,090"
214,신 짜오,탑,41.02,49.62%,0.56%,0.12%,"3,253"
215,트위치,서폿,41.01,44.68%,1.17%,3.31%,"6,813"
216,아칼리,탑,40.81,46.17%,2.29%,4.75%,"13,327"
217,베이가,서폿,40.66,47.25%,0.58%,83.37%,"3,365"
218,트런들,정글,40.62,48.81%,0.57%,0.12%,"3,323"
219,초가스,바텀,40.10,45.18%,4.20%,8.00%,"24,442"
220,쉬바나,정글,40.02,47.97%,0.72%,0.08%,"4,211"
221,판테온,정글,37.86,45.03%,0.69%,1.63%,"4,042"
222,아지르,미드,36.98,43.60%,1.91%,0.37%,"11,086"
223,제드,정글,36.96,44.53%,1.05%,36.78%,"6,137"
224,루시안,미드,36.67,46.46%,0.59%,1.18%,"3,448"
225,루시안,탑,34.51,46.30%,0.72%,1.18%,"4,205"
226,초가스,서폿,33.89,43.55%,0.58%,8.00%,"3,378"
227,미스 포츈,서폿,32.54,43.13%,0.74%,0.11%,"4,319"
